BEATS,BS,WS,HS,AS,OS,BA,WA,HA,AA,OA,BWS,HWS,AWS,OWS,LAT,LONG
01X,212.7659574,13.25966851,38.585209,4.745762712,0,148.9361702,9.944751381,22.50803859,4.06779661,0,0,0,0,0,37.79832501,-122.2722305
02X,63.94199077,16.43192488,15.50387597,2.642007926,6.289308176,50.75807515,7.042253521,15.50387597,2.642007926,0,0,0,0,0,37.80552105,-122.2866993
02Y,39.00928793,4.093567251,5.045408678,0,4.494382022,22.91021672,2.339181287,0,0,0,0,0,0,0,37.80641613,-122.2972641
03X,404.4585987,30.3030303,50.79365079,4.742885671,8.547008547,229.2993631,12.62626263,12.6984127,2.246630055,0,0,0,0,0,37.80087857,-122.270037
03Y,208.9552239,14,25.64102564,0,7.462686567,152.238806,12,25.64102564,0,7.462686567,0,0,0,0,37.80239275,-122.2751274
04X,34.94528768,7.621121394,11.00110011,3.668976763,5.75815739,21.17896223,3.53837779,7.700770077,3.261312678,3.838771593,0,0,0,0,37.80840825,-122.26995
05X,30.34359661,3.728560776,0,3.831417625,7.272727273,20.08032129,2.98284862,0,1.915708812,3.636363636,0,0,0,0,37.81240269,-122.2812487
05Y,9.523809524,6.861063465,4.854368932,0,0,4.761904762,5.145797599,4.854368932,0,0,0,0,0,0,37.81412061,-122.2926258
06X,69.4337689,4.274722143,4.134129536,13.88888889,2.561912895,48.68050218,2.564833286,2.756086357,9.259259259,0,0,0,0,0,37.82096746,-122.2716719
07X,127.3644388,14.81481481,24.87135506,39.03345725,5.772005772,81.12652375,10.13645224,22.29845626,37.17472119,5.772005772,0,0,0,0,37.82055088,-122.2795055
08X,57.15460526,9.267059815,2.666666667,3.094059406,7.352941176,31.66118421,2.808199944,0.888888889,2.475247525,4.901960784,0,0,0,0,37.8172383,-122.2638986
09X,24.33628319,2.215783194,3.278688525,0.964320154,1.934235977,8.849557522,0.681779444,3.278688525,0.964320154,1.934235977,0,0,0,0,37.82547677,-122.2531807
10X,19.335647,0.719165768,5.633802817,1.543209877,2.739726027,12.89043133,0.359582884,0,0,2.739726027,0,0,0,0,37.83955554,-122.2767038
10Y,23.69668246,4.807692308,5.834305718,5,0,7.701421801,3.365384615,4.667444574,0,0,0,0,0,0,37.83635185,-122.2714226
11X,9.502923977,1.913875598,1.828153565,0,7.692307692,6.578947368,0.637958533,1.828153565,0,7.692307692,0,0,0,0,37.84005008,-122.2664679
12X,27.45792737,3.879979307,1.084598698,0,5.865102639,15.94331267,2.586652871,1.084598698,0,5.865102639,0,0,0,0,37.8340065,-122.2611625
12Y,17.59133965,0.999125765,2.129925453,0.842459983,3.215434084,6.765899865,0.499562882,1.064962726,0,3.215434084,0,0,0,0,37.84225574,-122.255163
13X,0,0,1.512859304,0,0,0,0,0,0,0,0,0,0,0,37.83787559,-122.2332971
13Y,18.18181818,0,2.197802198,0,0,4.545454545,0,0,0,0,0,0,0,0,37.83883564,-122.2182468
13Z,2.770083102,0,0,0,0,0,0,0,0,0,0,0,0,0,37.82997354,-122.2111867
14X,12.51489869,2.352941176,2.084781098,4.548900682,2.886002886,4.767580453,0.7239819,0.694927033,4.548900682,2.886002886,0,0,0,0,37.81026468,-122.255267
14Y,4.966887417,0.444444444,0,2.915451895,0,3.311258278,0.444444444,0,2.915451895,0,0,0,0,0,37.81264545,-122.2478132
15X,15.25885559,1.602931074,9.169054441,1.135503407,0,4.359673025,0.68697046,0.573065903,0.378501136,0,0,0,0,0,37.79927758,-122.2426245
16X,2.136752137,0.776096236,0,0,20.83333333,0,0.776096236,0,0,20.83333333,0,0,0,0,37.80800391,-122.2355787
16Y,2.645502646,0.855798032,0,0,0,2.645502646,0.427899016,0,0,0,0,0,0,0,37.80624813,-122.2240454
17X,13.96478446,0.682593857,1.898734177,1.210165389,0,7.893139041,0.682593857,0.632911392,1.210165389,0,0,0,0,0,37.79435053,-122.2448045
17Y,15.93252109,1.264222503,2.409638554,1.025290499,0,11.24648547,1.264222503,0.803212851,0,0,0,0,0,0,37.80050175,-122.2383837
18X,22.38209432,2.340093604,4.09378489,0.638569604,0.531914894,15.98721023,2.340093604,2.977298102,0.319284802,0,0,0,0,0,37.79017043,-122.2393472
18Y,2.191060473,0,1.99071002,1.29157249,1.503759398,1.752848379,0,0.663570007,0.645786245,0,0,0,0,0,37.79380935,-122.2334012
19X,590.8045977,115.8900836,148.8549618,35.58460421,23.56020942,429.8850575,54.95818399,125.9541985,29.0486565,13.08900524,0,0,0,0,37.78856694,-122.244962
20X,493.5622318,16.48998822,35.60830861,5.115089514,2.466091245,377.6824034,10.60070671,17.8041543,0,0,0,0,0,0,37.78211501,-122.2308661
21X,14.25178147,1.014198783,2.571471789,1.510574018,0.570613409,6.334125099,0.811359026,1.210104372,0.906344411,0.285306705,0,0,0,0,37.78828626,-122.2284034
21Y,10.16949153,0,4.6818103,0,0.316856781,4.930662558,0,1.21380267,0,0.316856781,0,0,0,0,37.78922516,-122.2187154
22X,18.72074883,2.209131075,7.352941176,0.866551127,4.504504505,12.48049922,0.736377025,7.352941176,0,0,0,0,0,0,37.80079622,-122.2149525
22Y,10.86956522,0.336927224,5.813953488,0,0,9.510869565,0.336927224,4.651162791,0,0,0,0,0,0,37.79711318,-122.2001851
23X,115.8008658,10.3030303,11.97023617,6.554989075,0.855920114,68.18181818,6.666666667,5.985118085,2.913328478,0.285306705,0,0,0,0,37.77566185,-122.2201999
24X,11.93520887,0.409332788,3.9536854,2.663115846,0.494071146,8.52514919,0.409332788,1.6944366,1.997336884,0.494071146,0,0,0,0,37.781513,-122.2136257
24Y,24.52025586,4.029008864,5.612244898,0.464900046,0,8.528784648,2.417405318,3.571428571,0.464900046,0,0,0,0,0,37.78711669,-122.2053447
25X,16.12903226,2.197112367,2.915451895,1.337792642,0,7.056451613,1.569365976,0.971817298,0.668896321,0,0,0,0,0,37.78918815,-122.1935045
25Y,0.754147813,0,0,0,0,0.754147813,0,0,0,0,0,0,0,0,37.7826749,-122.1707925
26X,145.0777202,13.07189542,19.64912281,8.310249307,0,98.44559585,4.357298475,11.92982456,5.540166205,0,0,0,0,0,37.76608694,-122.2092286
26Y,11.0864745,1.003260597,0.908677874,0,0,6.310762408,0.501630298,0.636074512,0,0,0,0,0,0,37.75977907,-122.1953285
27X,23.3995585,3.683241252,8.843967151,12.6984127,0.675904022,11.4790287,1.841620626,5.053695515,12.6984127,0.337952011,0,0,0,0,37.7722486,-122.2064236
27Y,16.3759345,1.930501931,11.33563332,2.680965147,0,8.8999644,0.965250965,6.899950715,1.340482574,0,0,0,0,0,37.76766083,-122.198952
28X,1.309243257,0.217155266,0,0,0,0.785545954,0.217155266,0,0,0,0,0,0,0,37.7812169,-122.194225
29X,54.9132948,1.899335233,8.230452675,0,15.26717557,40.46242775,1.899335233,4.115226337,0,15.26717557,0,0,0,0,37.77254693,-122.1848129
30X,29.50594694,1.652209831,21.51462995,10.43841336,1.492537313,18.06953339,1.239157373,12.90877797,2.087682672,0,0,0,0,0,37.76208058,-122.1811331
30Y,14.63414634,0,0.615839389,0,0,7.520325203,0,0.615839389,0,0,0,0,0,0,37.76593961,-122.1723944
31X,7.405375754,7.268951194,8.121277748,8.075370121,0,4.93691717,4.672897196,6.497022198,8.075370121,0,0,0,0,0,37.74381557,-122.1973687
31Y,32.43243243,26.84563758,19.59773079,90,1.554001554,23.93822394,20.13422819,18.56627127,70,1.554001554,0,0,0,0,37.73856102,-122.1906944
31Z,14.89203276,4.672897196,4.774535809,0,0,6.701414743,0,2.652519894,0,0,0,0,0,0,37.73403878,-122.1806149
32X,123.1155779,0.541125541,8.643976229,0.829187396,1.280409731,80.40201005,0.541125541,6.482982172,0,1.280409731,0,0,0,0,37.74322411,-122.1707048
32Y,9.929078014,0.503144654,2.060793405,0,0,9.929078014,0.503144654,2.060793405,0,0,0,0,0,0,37.7458863,-122.1585846
33X,48.07692308,3.555555556,6.772009029,12.5,0,35.25641026,2.666666667,5.159625927,12.5,0,0,0,0,0,37.74923873,-122.1783681
34X,62.39737274,1.017811705,6.177076184,2.450980392,0.386100386,36.94581281,0,4.118050789,0,0.386100386,0,0,0,0,37.75142226,-122.171266
35X,13.54605659,0,2.155172414,16,0.913242009,5.719446117,0,2.155172414,0,0.913242009,0,0,0,0,37.75595287,-122.1626409
35Y,0,0,1.424501425,0,0,0,0,1.424501425,0,0,0,0,0,0,37.76029269,-122.120139
